StudentID,Semester,Attendance,InternalMarks,AssignmentScore,StudyHours,Backlogs,Participation,MidtermMarks,FinalExamMarks,GPA,RiskLevel
213,6,86,23,17,17,0,71,37,82,8.43,Low Risk
214,5,94,22,17,24,0,67,38,85,8.7,Low Risk
215,2,91,27,16,21,0,96,39,75,8.48,Low Risk
216,6,94,27,15,18,0,61,41,75,8.8,Low Risk
217,1,81,24,19,19,0,60,42,81,7.76,Low Risk
218,5,94,28,17,24,0,62,40,83,8.16,Low Risk
219,5,89,25,15,15,0,64,38,77,8.73,Low Risk
220,1,99,25,15,19,0,96,46,74,9.06,Low Risk
221,4,94,28,18,18,0,73,36,78,8.56,Low Risk
222,4,80,28,17,20,0,96,39,96,8.13,Low Risk
223,1,98,27,18,24,0,79,39,87,9.43,Low Risk
224,3,81,22,16,23,0,98,49,93,8.53,Low Risk
225,2,91,27,18,21,0,75,36,79,8.97,Low Risk
226,2,80,28,19,20,0,64,49,91,8.01,Low Risk
227,1,90,23,16,16,0,76,44,77,9.23,Low Risk
228,1,91,24,15,18,0,92,35,88,9.38,Low Risk
229,6,95,26,15,24,0,87,36,87,8.71,Low Risk
230,7,88,22,15,23,0,72,43,90,8.63,Low Risk
231,1,90,25,16,20,0,63,40,88,9.12,Low Risk
232,2,92,22,17,15,0,83,48,91,8.8,Low Risk
233,5,94,22,18,24,0,66,49,90,8.26,Low Risk
234,5,80,22,15,17,0,97,44,80,8.71,Low Risk
235,6,93,23,16,23,0,62,39,95,9.4,Low Risk
236,2,85,25,19,24,0,84,46,74,8.3,Low Risk
237,5,94,25,18,21,0,65,48,87,8.93,Low Risk
238,3,92,26,17,21,0,75,49,90,9.3,Low Risk
239,1,83,24,17,18,0,80,47,91,7.89,Low Risk
240,6,83,29,19,18,0,86,47,84,8.56,Low Risk
241,2,83,27,16,16,0,72,38,95,7.74,Low Risk
242,3,86,28,18,24,0,98,47,76,8.09,Low Risk
243,1,89,26,16,22,0,95,38,73,7.67,Low Risk
244,6,80,25,19,24,0,72,41,91,9.14,Low Risk
245,6,88,23,15,24,0,83,44,94,9.18,Low Risk
246,1,84,25,16,22,0,78,38,97,8.84,Low Risk
247,1,97,24,18,24,0,92,41,87,7.81,Low Risk
248,1,82,25,16,15,0,80,35,91,7.55,Low Risk
249,7,82,25,17,24,0,68,48,82,8.69,Low Risk
250,6,81,29,17,21,0,80,36,72,8.39,Low Risk
251,5,86,22,15,21,0,83,46,83,7.71,Low Risk
252,2,85,23,19,18,0,99,39,70,8.69,Low Risk
253,1,87,22,17,20,0,98,38,82,8.54,Low Risk
254,2,84,25,17,19,0,67,40,77,8.8,Low Risk
255,6,91,26,16,17,0,81,40,71,9.49,Low Risk
256,2,85,22,17,16,0,82,48,89,7.62,Low Risk
257,4,83,26,19,23,0,75,44,99,8.35,Low Risk
258,7,95,25,15,22,0,79,37,85,8.27,Low Risk
259,7,98,29,19,18,0,99,42,81,7.99,Low Risk
260,6,99,27,16,22,0,98,35,90,9.15,Low Risk
261,6,99,23,19,18,0,92,41,87,8.18,Low Risk
262,1,81,24,15,23,0,60,45,72,8.29,Low Risk
263,7,83,23,17,20,0,74,40,97,9.2,Low Risk
264,2,91,28,15,24,0,97,36,82,8.26,Low Risk
265,2,93,27,17,21,0,73,43,84,8.31,Low Risk
266,2,81,24,16,18,0,77,44,94,8.65,Low Risk
267,5,80,25,15,20,0,62,37,78,9.15,Low Risk
268,5,81,29,19,16,0,63,43,84,9.43,Low Risk
269,4,91,29,18,18,0,77,47,97,9.2,Low Risk
270,5,90,27,16,21,0,78,49,88,8.63,Low Risk
271,2,89,22,16,16,0,90,42,84,9.47,Low Risk
272,3,88,24,19,23,0,87,48,83,7.7,Low Risk
273,4,80,25,18,21,0,99,35,74,8.73,Low Risk
274,4,99,25,18,20,0,98,36,74,9.27,Low Risk
275,6,82,28,17,20,0,73,41,74,8.27,Low Risk
276,5,81,27,17,19,0,97,49,90,9.02,Low Risk
277,2,86,26,15,19,0,85,36,82,9.45,Low Risk
278,2,84,26,18,15,0,94,35,97,8.79,Low Risk
279,5,99,29,19,24,0,63,36,89,7.99,Low Risk
280,2,87,24,15,18,0,88,40,79,9.07,Low Risk
281,5,96,22,15,22,0,68,43,70,9.12,Low Risk
282,5,80,23,16,24,0,99,39,97,8.77,Low Risk
283,2,87,24,15,15,0,82,42,82,7.8,Low Risk
284,4,80,28,19,22,0,72,42,94,8.99,Low Risk
285,1,92,24,17,22,0,76,39,89,8.98,Low Risk
286,2,93,25,17,18,0,74,37,76,9.07,Low Risk
287,3,90,23,19,19,0,89,40,77,8.03,Low Risk
288,6,94,29,18,15,0,90,42,77,8.75,Low Risk
289,2,94,23,17,15,0,95,48,73,9.05,Low Risk
290,1,97,23,19,18,0,71,45,77,7.73,Low Risk
291,5,95,29,18,16,0,70,44,84,7.72,Low Risk
292,2,88,22,17,24,0,84,36,91,8.05,Low Risk
293,4,91,29,17,15,0,80,37,95,9.13,Low Risk
294,7,86,22,18,23,0,77,39,82,7.94,Low Risk
295,6,87,27,18,20,0,81,45,94,9.37,Low Risk
296,5,92,23,16,19,0,74,38,96,9.43,Low Risk
297,7,98,28,18,20,0,96,47,70,8.52,Low Risk
298,7,98,28,19,21,0,84,39,84,7.82,Low Risk
299,2,95,29,15,19,0,62,35,73,7.7,Low Risk
300,2,81,24,15,24,0,80,48,76,8.73,Low Risk
301,2,88,29,19,23,0,95,40,79,9.02,Low Risk
302,6,91,22,15,16,0,79,45,85,7.8,Low Risk
303,7,85,29,17,19,0,63,49,98,8.79,Low Risk
304,2,82,23,19,20,0,80,40,77,7.86,Low Risk
305,2,85,27,18,23,0,79,35,92,9.25,Low Risk
306,5,93,24,19,24,0,63,42,99,8.47,Low Risk
307,6,97,24,18,17,0,78,40,93,8.17,Low Risk
308,6,85,26,18,17,0,95,48,92,8.97,Low Risk
309,1,97,28,18,15,0,87,45,84,9.5,Low Risk
310,4,92,22,15,20,0,63,38,85,7.86,Low Risk
311,7,85,28,18,21,0,68,44,85,7.91,Low Risk
312,4,89,23,17,15,0,89,48,91,8.05,Low Risk
313,1,92,24,19,17,0,94,48,95,9.25,Low Risk
314,5,84,25,15,19,0,69,39,73,7.77,Low Risk
315,4,86,28,16,17,0,60,42,94,7.51,Low Risk
316,1,93,25,18,23,0,90,38,93,8.44,Low Risk
317,5,91,23,18,21,0,94,41,97,9.07,Low Risk
318,2,95,29,16,23,0,72,40,81,7.81,Low Risk
319,4,90,25,16,24,0,80,38,87,8.32,Low Risk
320,7,85,28,16,22,0,70,38,93,8.62,Low Risk
321,7,89,23,18,22,0,73,43,74,9.46,Low Risk
322,2,84,24,16,19,0,83,35,88,8.12,Low Risk
323,5,91,22,19,23,0,92,36,90,7.95,Low Risk
324,2,86,27,15,15,0,83,47,98,9.22,Low Risk
325,2,90,22,15,15,0,93,40,83,8.42,Low Risk
326,1,89,26,19,16,0,81,43,71,7.7,Low Risk
327,3,86,27,18,22,0,99,40,97,8.21,Low Risk
328,3,98,28,15,21,0,80,38,95,8.16,Low Risk
329,6,99,27,19,20,0,87,48,96,9.39,Low Risk
330,2,96,28,16,23,0,62,42,81,8.58,Low Risk
331,4,82,27,18,21,0,84,45,87,7.69,Low Risk
332,5,98,24,18,24,0,67,42,97,9.09,Low Risk
333,4,84,26,15,22,0,77,44,97,8.89,Low Risk
334,4,81,28,17,17,0,86,36,80,9.47,Low Risk
335,1,80,28,19,19,0,63,48,75,9.44,Low Risk
336,3,88,25,17,21,0,75,35,82,9.47,Low Risk
337,5,92,23,18,20,0,90,45,92,7.76,Low Risk
338,5,82,22,18,23,0,79,36,95,7.66,Low Risk
339,5,82,26,18,23,0,97,36,75,8.92,Low Risk
340,4,90,23,18,23,0,80,42,71,9.14,Low Risk
341,4,95,26,18,22,0,85,48,70,7.98,Low Risk
342,4,81,22,17,16,0,70,43,92,8.74,Low Risk
343,6,96,26,18,17,0,92,38,98,8.85,Low Risk
344,2,82,29,18,21,0,65,43,89,7.95,Low Risk
345,7,82,25,16,23,0,97,49,90,7.57,Low Risk
346,5,93,25,18,15,0,98,43,72,7.62,Low Risk
347,7,97,24,15,20,0,86,41,96,7.72,Low Risk
348,6,85,27,18,19,0,67,48,72,8.33,Low Risk
349,7,93,24,18,15,0,84,42,93,7.55,Low Risk
350,6,95,22,17,17,0,62,44,88,9.11,Low Risk
351,4,92,28,15,21,0,78,49,89,7.73,Low Risk
352,6,83,29,15,23,0,92,42,89,8.1,Low Risk
353,3,82,22,17,23,0,63,45,73,9.25,Low Risk
354,2,88,26,15,22,0,75,47,99,9.09,Low Risk
355,6,91,24,17,16,0,80,49,90,7.63,Low Risk
356,4,84,24,18,15,0,68,47,78,8.84,Low Risk
357,1,81,29,15,22,0,82,49,77,8.13,Low Risk
358,4,93,28,15,17,0,85,38,98,7.84,Low Risk
359,5,98,27,18,23,0,88,37,73,8.85,Low Risk
360,4,83,27,18,17,0,81,46,71,8.04,Low Risk
361,3,88,22,15,16,0,76,47,81,8.71,Low Risk
362,3,87,24,18,24,0,60,43,98,8.45,Low Risk
363,3,87,27,17,18,0,72,47,75,9.21,Low Risk
364,1,87,24,18,15,0,85,41,90,8.38,Low Risk
365,6,89,24,15,23,0,83,39,86,8.73,Low Risk
366,5,98,24,15,21,0,72,45,83,9.49,Low Risk
367,5,93,26,15,22,0,78,46,77,9.32,Low Risk
368,5,92,25,19,15,0,85,41,97,9.14,Low Risk
369,1,93,28,19,21,0,79,36,87,7.73,Low Risk
370,6,80,28,18,16,0,96,37,84,8.34,Low Risk
371,4,96,22,18,24,0,74,43,76,8.33,Low Risk
372,5,88,23,16,17,0,70,47,79,8.5,Low Risk
373,3,88,22,18,17,0,79,40,96,8.98,Low Risk
374,5,85,24,16,15,0,71,37,80,8.47,Low Risk
375,5,94,23,19,19,0,90,43,92,9.13,Low Risk
376,6,90,23,18,17,0,68,39,75,9.08,Low Risk
377,4,91,23,17,17,0,87,46,84,9.02,Low Risk
378,7,87,24,16,23,0,95,46,70,8.55,Low Risk
379,2,84,28,18,19,0,60,35,84,7.81,Low Risk
380,5,89,25,16,17,0,90,45,99,8.69,Low Risk
381,1,85,29,19,22,0,93,38,93,9.48,Low Risk
382,1,83,22,19,16,0,64,48,93,9.45,Low Risk
383,3,90,26,18,24,0,86,48,91,9.35,Low Risk
384,3,89,24,16,20,0,74,39,99,7.76,Low Risk
385,2,84,23,18,19,0,94,41,75,8.71,Low Risk
386,4,88,22,19,18,0,76,47,85,9.05,Low Risk
387,5,84,22,15,16,0,81,39,96,9.18,Low Risk
388,3,89,23,19,17,0,80,48,81,7.97,Low Risk
389,3,86,25,17,15,0,87,49,93,9.5,Low Risk
390,5,94,23,17,18,0,76,37,97,8.1,Low Risk
391,6,98,26,19,22,0,87,39,86,8.92,Low Risk
392,6,98,28,17,19,0,93,45,91,8.57,Low Risk
393,4,90,28,18,19,0,76,42,89,8.43,Low Risk
394,2,91,27,15,17,0,78,44,85,7.69,Low Risk
395,4,85,28,16,18,0,97,45,70,8.63,Low Risk
396,7,94,24,17,23,0,76,37,90,9.46,Low Risk
397,2,98,28,18,21,0,94,49,78,7.62,Low Risk
398,5,96,22,15,15,0,91,42,88,8.12,Low Risk
399,3,84,26,19,21,0,75,36,91,8.88,Low Risk
400,3,82,27,16,24,0,80,46,71,8.17,Low Risk
401,3,94,24,17,16,0,67,44,86,7.68,Low Risk
402,6,86,24,15,18,0,84,39,70,7.64,Low Risk
403,5,87,29,19,23,0,60,38,72,8.73,Low Risk
404,7,88,23,18,20,0,70,37,77,7.72,Low Risk
405,4,92,26,16,17,0,97,36,77,7.73,Low Risk
406,2,89,25,18,16,0,61,44,82,8.83,Low Risk
407,7,81,28,17,22,0,82,48,93,8.31,Low Risk
408,3,86,26,15,15,0,89,39,82,8.71,Low Risk
409,5,98,22,15,20,0,90,35,92,8.51,Low Risk
410,6,89,23,18,22,0,79,36,83,8.43,Low Risk
411,6,99,26,18,21,0,67,36,81,8.49,Low Risk
412,6,81,23,16,23,0,71,35,84,7.71,Low Risk
413,1,97,29,15,21,0,83,36,77,7.51,Low Risk
414,5,91,22,19,23,0,60,45,88,8.63,Low Risk
415,2,91,25,18,16,0,74,37,82,8.34,Low Risk
416,6,95,29,18,17,0,96,35,95,7.58,Low Risk
417,5,80,25,17,23,0,69,49,92,8.01,Low Risk
418,3,92,26,15,22,0,70,35,73,8.91,Low Risk
419,6,88,26,18,17,0,78,46,74,7.6,Low Risk
420,5,95,28,18,23,0,94,49,85,7.92,Low Risk
421,6,82,25,15,21,0,72,36,74,9.14,Low Risk
422,7,81,29,15,23,0,97,45,91,9.26,Low Risk
423,1,83,26,19,16,0,68,42,77,8.8,Low Risk
424,2,82,25,18,19,0,87,42,91,7.9,Low Risk
425,4,90,24,19,23,0,69,39,81,7.7,Low Risk
426,2,93,26,19,20,0,83,36,91,8.92,Low Risk
427,6,89,24,15,17,0,97,35,81,8.69,Low Risk
428,5,90,22,18,24,0,85,40,70,8.12,Low Risk
429,4,95,28,15,22,0,87,44,81,7.75,Low Risk
430,5,89,24,15,16,0,96,40,76,7.54,Low Risk
431,5,80,28,16,21,0,71,45,90,8.79,Low Risk
432,7,83,28,17,23,0,91,45,77,9.07,Low Risk
433,1,87,26,17,18,0,99,37,98,7.96,Low Risk
434,2,81,25,19,21,0,85,38,95,9.48,Low Risk
435,7,84,29,18,16,0,70,49,97,9.05,Low Risk
436,1,91,28,16,23,0,85,43,79,8.13,Low Risk
437,3,90,26,19,22,0,99,38,84,7.83,Low Risk
438,3,90,22,15,18,0,97,42,91,8.44,Low Risk
439,7,88,27,16,24,0,64,38,89,7.96,Low Risk
440,6,80,23,17,16,0,74,47,95,8.86,Low Risk
441,5,85,27,16,24,0,72,49,99,8.62,Low Risk
442,6,87,25,19,15,0,76,45,82,8.55,Low Risk
443,7,91,27,15,18,0,94,46,85,8.31,Low Risk
444,3,91,24,19,23,0,77,37,92,7.65,Low Risk
445,6,97,23,18,17,0,88,45,98,9.39,Low Risk
446,3,90,26,16,16,0,67,47,79,8.45,Low Risk
447,4,94,27,15,21,0,76,45,89,8.63,Low Risk
448,6,91,22,19,24,0,95,39,97,9.35,Low Risk
449,2,90,26,16,22,0,61,41,77,9.12,Low Risk
450,6,84,24,15,17,0,72,47,79,9.3,Low Risk
451,6,81,24,15,23,0,88,41,86,8.77,Low Risk
452,4,82,24,15,21,0,86,44,83,8.74,Low Risk
453,5,99,26,18,19,0,86,36,73,9.19,Low Risk
454,1,92,25,18,21,0,69,45,80,9.0,Low Risk
455,5,80,22,16,22,0,88,38,74,8.94,Low Risk
456,3,82,25,16,17,0,78,47,97,8.36,Low Risk
457,7,86,23,19,19,0,73,38,92,8.45,Low Risk
458,7,97,25,19,22,0,78,41,83,7.91,Low Risk
459,1,83,23,17,19,0,60,37,84,9.12,Low Risk
460,7,83,23,19,22,0,83,44,73,7.8,Low Risk
461,1,96,28,19,22,0,82,47,74,8.28,Low Risk
